model,Positional Embed,Activation Fn,Learning Rate,Epoch,Training Time,Training Accuracy,Test Accuracy
ViT_ReLU_Cosine_6B8H8D,Learnable PE,ReLU,0.0001,10,8780.813628435135,0.34185381741982507,0.3453125
ViT_Tanh_Cosine_6B8H8D,Learnable PE,Tanh,0.0001,10,8732.585951805115,0.3445035380223518,0.34646139705882356
ViT_GELU_Cosine_6B8H8D,Learnable PE,GELU,0.0001,10,8782.594863653183,0.34492111576773565,0.3518497242647059
ViT_ReLU_Learnable_4B6H12D,Cosine PE,ReLU,0.0001,10,4594.394527673721,0.40482643950437314,0.40818014705882355
ViT_Tanh_Learnable_4B6H12D,Cosine PE,Tanh,0.0001,10,4581.365083932877,0.357040360787172,0.3576976102941177
ViT_GELU_Learnable_4B6H12D,Cosine PE,GELU,0.0001,10,4629.801721096039,0.34274401724975706,0.3521139705882353
